Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
1,90,99,0,1,0,-130.8957,130.8957,0
2,90,99,0,1,0,-66.609,66.609,0
1,91,100,0,1,0,-145.0413,145.0413,0
2,91,100,0,1,0,-82.6842,82.6842,0
1,92,101,0,1,0,-145.161,145.161,0
2,92,101,0,1,0,-90.1914,90.1914,0
1,93,102,0,1,0,-145.8333,145.8333,0
2,93,102,0,1,0,-86.3538,86.3538,0
1,94,103,0,1,0,-168.081,168.081,0
2,94,103,0,1,0,-90.6738,90.6738,0
1,95,104,0,1,0,-167.0019,167.0019,0
2,95,104,0,1,0,-94.2369,94.2369,0
1,96,105,0,1,0,-169.0197,169.0197,0
2,96,105,0,1,0,-97.6551,97.6551,0
1,97,106,0,1,0,-178.0662,178.0662,0
2,97,106,0,1,0,-115.0089,115.0089,0
1,98,107,0,1,0,-184.6269,184.6269,0
2,98,107,0,1,0,-113.7576,113.7576,0
1,99,108,0,1,0,-180.3804,180.3804,0
2,99,108,0,1,0,-135.9837,135.9837,0
1,100,109,0,1,0,-173.6439,173.6439,0
2,100,109,0,1,0,-142.4832,142.4832,0
1,101,110,0,1,0,-177.1101,177.1101,0
2,101,110,0,1,0,-144.2733,144.2733,0
1,102,111,0,1,0,-202.2783,202.2783,0
2,102,111,0,1,0,-165.3261,165.3261,0
1,103,112,0,1,0,-188.9934,188.9934,0
2,103,112,0,1,0,-169.3794,169.3794,0
1,104,113,0,1,0,-177.4149,177.4149,0
2,104,113,0,1,0,-185.8377,185.8377,0
1,105,114,0,1,0,-163.0599,163.0599,0
2,105,114,0,1,0,-191.3781,191.3781,0
1,106,115,0,1,0,-170.4837,170.4837,0
2,106,115,0,1,0,-179.472,179.472,0
1,107,116,0,1,0,-175.4283,175.4283,0
2,107,116,0,1,0,-187.9452,187.9452,0
1,108,117,0,1,0,-167.6289,167.6289,0
2,108,117,0,1,0,-178.002,178.002,0
1,109,118,0,1,0,-162.201,162.201,0
2,109,118,0,1,0,-188.55,188.55,0
1,110,119,0,1,0,-155.8551,155.8551,0
2,110,119,0,1,0,-170.1489,170.1489,0
1,111,120,0,1,0,-132.1779,132.1779,0
2,111,120,0,1,0,-153.4458,153.4458,0
1,112,121,0,1,0,-132.3765,132.3765,0
2,112,121,0,1,0,-151.2048,151.2048,0
1,113,122,0,1,0,-130.2813,130.2813,0
2,113,122,0,1,0,-149.9955,149.9955,0
1,114,123,0,1,0,-134.8842,134.8842,0
2,114,123,0,1,0,-146.055,146.055,0
1,115,124,0,1,0,-127.4865,127.4865,0
2,115,124,0,1,0,-156.5847,156.5847,0
1,116,125,0,1,0,-115.4298,115.4298,0
2,116,125,0,1,0,-143.4384,143.4384,0
1,117,126,0,1,0,-127.7679,127.7679,0
2,117,126,0,1,0,-152.1156,152.1156,0
1,118,127,0,1,0,-116.2014,116.2014,0
2,118,127,0,1,0,-139.2723,139.2723,0
1,119,128,0,1,0,-134.8098,134.8098,0
2,119,128,0,1,0,-171.816,171.816,0
1,120,129,0,1,0,-129.0165,129.0165,0
2,120,129,0,1,0,-178.4919,178.4919,0
1,121,130,0,1,0,-126.0309,126.0309,0
2,121,130,0,1,0,-182.7438,182.7438,0
1,122,131,0,1,0,-133.6641,133.6641,0
2,122,131,0,1,0,-175.5285,175.5285,0
1,123,132,0,1,0,-107.6994,107.6994,0
2,123,132,0,1,0,-168.8253,168.8253,0
1,124,133,0,1,0,-109.2384,109.2384,0
2,124,133,0,1,0,-163.0866,163.0866,0
1,125,134,0,1,0,-113.4573,113.4573,0
2,125,134,0,1,0,-169.2624,169.2624,0
1,126,135,0,1,0,-105.4683,105.4683,0
2,126,135,0,1,0,-156.5277,156.5277,0
1,127,136,0,1,0,-116.8959,116.8959,0
2,127,136,0,1,0,-140.5299,140.5299,0
1,128,137,0,1,0,-97.6797,97.6797,0
2,128,137,0,1,0,-121.6242,121.6242,0
1,129,138,0,1,0,-98.9262,98.9262,0
2,129,138,0,1,0,-117.561,117.561,0
1,130,139,0,1,0,-91.2015,91.2015,0
2,130,139,0,1,0,-120.4803,120.4803,0
1,131,140,0,1,0,-84.1341,84.1341,0
2,131,140,0,1,0,-109.6167,109.6167,0
1,132,141,0,1,0,-112.095,112.095,0
2,132,141,0,1,0,-105.5463,105.5463,0
1,133,142,0,1,0,-104.7639,104.7639,0
2,133,142,0,1,0,-125.0046,125.0046,0
1,134,143,0,1,0,-101.8302,101.8302,0
2,134,143,0,1,0,-126.3675,126.3675,0
1,135,144,0,1,0,-98.6772,98.6772,0
2,135,144,0,1,0,-135.8988,135.8988,0
1,136,145,0,1,0,-90.5598,90.5598,0
2,136,145,0,1,0,-133.6005,133.6005,0
1,137,146,0,1,0,-95.3511,95.3511,0
2,137,146,0,1,0,-130.4271,130.4271,0
1,138,147,0,1,0,-88.0452,88.0452,0
2,138,147,0,1,0,-141.7821,141.7821,0
1,139,148,0,1,0,-90.7401,90.7401,0
2,139,148,0,1,0,-141.3633,141.3633,0
1,140,149,0,1,0,-87.8676,87.8676,0
2,140,149,0,1,0,-167.7363,167.7363,0
1,141,150,0,1,0,-88.9374,88.9374,0
2,141,150,0,1,0,-179.2098,179.2098,0
1,142,151,0,1,0,-88.0839,88.0839,0
2,142,151,0,1,0,-176.706,176.706,0
1,143,152,0,1,0,-92.8473,92.8473,0
2,143,152,0,1,0,-196.1592,196.1592,0
1,144,153,0,1,0,-94.4355,94.4355,0
2,144,153,0,1,0,-186.2373,186.2373,0
1,145,154,0,1,0,-100.6554,100.6554,0
2,145,154,0,1,0,-194.5992,194.5992,0
1,146,155,0,1,0,-105.7887,105.7887,0
2,146,155,0,1,0,-209.4612,209.4612,0
1,147,156,0,1,0,-116.2623,116.2623,0
2,147,156,0,1,0,-210.0534,210.0534,0
1,148,157,0,1,0,-117.2577,117.2577,0
2,148,157,0,1,0,-220.7913,220.7913,0
1,149,158,0,1,0,-128.2866,128.2866,0
