Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
1,181,190,0,1,0,-116.7153,116.7153,1
2,181,190,0,1,0,-110.6199,110.6199,1
1,182,191,0,1,0,-109.8654,109.8654,1
2,182,191,0,1,0,-93.7599,93.7599,1
1,183,192,0,1,0,-86.1063,86.1063,1
2,183,192,0,1,0,-89.7777,89.7777,1
1,184,193,0,1,0,-79.4313,79.4313,1
2,184,193,0,1,0,-87.5616,87.5616,1
1,185,194,0,1,0,-82.4883,82.4883,1
2,185,194,0,1,0,-58.2579,58.2579,1
1,186,195,0,1,0,-88.2684,88.2684,1
2,186,195,0,1,0,-62.8449,62.8449,1
1,187,196,0,1,0,-95.0763,95.0763,1
2,187,196,0,1,0,-61.9077,61.9077,1
1,188,197,0,1,0,-87.2253,87.2253,1
2,188,197,0,1,0,-64.8087,64.8087,1
1,189,198,0,1,0,-89.9112,89.9112,1
2,189,198,0,1,0,-43.0161,43.0161,1
1,190,199,0,1,0,-86.6532,86.6532,1
2,190,199,0,1,0,-29.046,29.046,1
1,191,200,0,1,0,-74.4369,74.4369,1
2,191,200,0,1,0,-20.4927,20.4927,1
1,192,201,0,1,0,-63.7812,63.7812,1
2,192,201,0,1,0,-15.297,15.297,1
1,193,202,0,1,0,-57.6948,57.6948,1
2,193,202,0,1,0,-16.1388,16.1388,1
1,194,203,0,1,0,-57.2922,57.2922,1
2,194,203,0,1,0,-20.6766,20.6766,1
1,195,204,0,1,0,-44.1318,44.1318,1
2,195,204,0,1,0,-12.5259,12.5259,1
1,196,205,0,1,0,-36.6144,36.6144,1
2,196,205,0,1,0,-12.2952,12.2952,1
1,197,206,0,1,0,-33.9327,33.9327,1
2,197,206,0,1,0,-14.5062,14.5062,1
1,198,207,0,1,0,-17.1333,17.1333,1
2,198,207,0,1,0,-20.7369,20.7369,1
1,199,208,0,1,0,-8.4531,8.4531,1
2,199,208,0,1,0,-20.2422,20.2422,1
1,200,209,0,1,0,-0.3705,0.3705,1
2,200,209,0,1,0,-19.0137,19.0137,1
1,201,210,0,1,0,-4.905,4.905,1
2,201,210,0,1,0,-20.6451,20.6451,1
1,202,211,0,1,0,0.9864,0.9864,1
2,202,211,0,1,0,-5.0943,5.0943,1
1,203,212,0,1,0,15.1908,15.1908,1
2,203,212,0,1,0,4.8246,4.8246,1
1,204,213,0,1,0,21.0699,21.0699,1
2,204,213,0,1,0,2.7015,2.7015,1
1,205,214,0,1,0,30.2268,30.2268,1
2,205,214,0,1,0,8.3697,8.3697,1
1,206,215,0,1,0,31.368,31.368,1
2,206,215,0,1,0,24.558,24.558,1
1,207,216,0,1,0,22.7151,22.7151,1
2,207,216,0,1,0,36.7548,36.7548,1
1,208,217,0,1,0,22.3284,22.3284,1
2,208,217,0,1,0,51.8895,51.8895,1
