Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,20,871.5,565.0,159.0,286.0,0.5559441,152.1,83.3,25.7,149.0,90.6,31.8,152.5,120.7,115.1,151.5,60.3,116.3,57.6,122.3,124.2,55.9,0
2,20,1074.5,565.0,165.0,312.0,0.52884614,146.3,56.6,44.4,148.8,122.4,47.0,145.5,39.2,107.1,147.6,140.3,104.1,101.0,75.4,67.9,115.6,0
1,21,871.0,564.5,154.0,291.0,0.5292096,143.7,96.9,21.4,159.2,99.4,40.9,144.4,57.4,109.4,143.2,121.4,107.4,118.3,58.5,52.0,131.2,0
2,21,1075.5,562.5,165.0,315.0,0.52380955,144.1,57.7,40.8,148.3,123.7,45.8,147.7,38.8,110.2,149.7,139.9,108.0,98.6,77.9,71.4,112.2,0
1,22,1076.0,561.0,162.0,318.0,0.509434,145.5,58.4,38.8,148.0,121.9,42.4,148.7,41.2,114.6,150.8,137.4,112.7,97.2,79.5,73.4,109.9,0
2,22,871.0,560.5,150.0,297.0,0.5050505,145.2,100.5,21.4,161.3,93.0,37.3,143.4,64.1,112.5,141.8,115.5,110.5,121.9,55.7,48.4,134.1,0
1,23,1075.5,560.0,163.0,326.0,0.5,144.1,59.4,37.8,144.3,119.1,39.3,148.7,42.4,115.7,150.8,136.2,114.1,97.2,79.8,73.3,109.8,0
2,23,871.5,558.5,149.0,301.0,0.4950166,137.8,107.3,9.0,160.9,90.8,31.1,145.9,66.8,121.9,145.4,111.7,119.3,116.2,59.7,55.1,129.0,0
1,24,1076.0,559.0,162.0,326.0,0.4969325,143.6,56.0,35.8,142.4,122.4,37.1,151.5,40.3,119.9,153.6,138.2,118.5,91.8,85.3,79.6,103.3,0
2,24,871.5,555.5,147.0,307.0,0.47882736,140.9,106.7,7.1,158.8,89.6,28.9,154.7,72.2,131.2,155.6,104.4,129.1,113.8,60.7,59.1,126.5,0
